,unit,ts,qty,geography_level,geography,product_level,product
0,b035f859cf03840b75abd80dc1cf3e94,2021-03-01,0,geography_level_3,e77f818445598d8b37ebda4c72645900,product_level_2,b04c1602cb78c1c4cf72dd7c0ce7d837
1,828ac2ac9ea800ea61e6c0bf0da57a6f,2021-03-01,0,geography_level_3,f05fa82955925441f3a4c9d7092fa5f5,product_level_2,b04c1602cb78c1c4cf72dd7c0ce7d837
2,86fec8ee07c5cf36f259fae08bf1bd14,2021-03-01,53,geography_level_3,cfcb575b4a1fc05255ef88307ffbeaa9,product_level_2,be55b932f63b0feda2a190154290d4aa
3,52146622c33726498164d83c10307c01,2021-03-01,15,geography_level_3,e77f818445598d8b37ebda4c72645900,product_level_2,be55b932f63b0feda2a190154290d4aa
4,ccd0f768f7a21a7fd3530fa0711f2fb1,2021-03-01,3,geography_level_3,cfcb575b4a1fc05255ef88307ffbeaa9,product_level_2,b04c1602cb78c1c4cf72dd7c0ce7d837
5,cb853a6f677db7201ebe326ee55a114b,2021-03-01,0,geography_level_3,f05fa82955925441f3a4c9d7092fa5f5,product_level_2,be55b932f63b0feda2a190154290d4aa
6,5440f09ff5b124a9ac61f2a950c1d31a,2021-03-01,45,geography_level_3,0b41e006d801550cba4c38157729bf87,product_level_2,ba569a9ecbaa99645f9baf060d5061e7
7,85d4470a73f889084197ba909b8d86a7,2021-03-01,246,geography_level_3,f05fa82955925441f3a4c9d7092fa5f5,product_level_2,be55b932f63b0feda2a190154290d4aa
8,12f892a6de3f9cf4411fb9db4fdd6691,2021-03-01,2,geography_level_3,f970e15b948f3259a5a7feeae1565e1b,product_level_2,93a97f63f0a573483d49c58dc02c1341
9,eafcb0368228f27889a04aca6a7fc3bd,2021-03-01,52,geography_level_3,e77875a9e01c74e943c9ed3c346d1034,product_level_2,814119e4a116199cf494768f31987158
10,621467fbc1c50559587e78d9d77fda38,2021-03-01,393,geography_level_3,e77875a9e01c74e943c9ed3c346d1034,product_level_2,3241cf89eaf210f13321fe6280c7d172
12,d41414fd2e70a27c4ee3b497852d5519,2021-03-01,984,geography_level_3,e77875a9e01c74e943c9ed3c346d1034,product_level_2,45fe7a01980958e559fa0473c20c8c58
13,79baf84bb72b22286e49377f8800db66,2021-03-01,6370,geography_level_3,e77875a9e01c74e943c9ed3c346d1034,product_level_2,6c46c9c5d3ef936b4c8d6d8f9851e837
14,a5363f80577076d31b6204ec2b86ab48,2021-03-01,2477,geography_level_3,e77875a9e01c74e943c9ed3c346d1034,product_level_2,93a97f63f0a573483d49c58dc02c1341
15,e86fedd300da736928854eab3fde9061,2021-03-01,420,geography_level_3,e77875a9e01c74e943c9ed3c346d1034,product_level_2,579cf4cbf3d63c78deffc623c0de643f
16,df8398246cee4979032d6630bcfa5058,2021-03-01,335,geography_level_3,e77875a9e01c74e943c9ed3c346d1034,product_level_2,ba569a9ecbaa99645f9baf060d5061e7
18,159cb1b7310e185dedda75e02d75344c,2021-03-01,33,geography_level_3,e77875a9e01c74e943c9ed3c346d1034,product_level_2,93a97f63f0a573483d49c58dc02c1341
19,42405e58e141c4e12e9eafacf7faa33e,2021-03-01,1,geography_level_3,e77875a9e01c74e943c9ed3c346d1034,product_level_2,579cf4cbf3d63c78deffc623c0de643f
22,5c16ce86b96a5a03730a1d0ea550554b,2021-03-01,86,geography_level_3,39a8345be72b8ff2f30e29dc836d7e12,product_level_2,814119e4a116199cf494768f31987158
25,47d8bb6097185276294e92bea842be3a,2021-03-01,71,geography_level_3,ac17865ba94b6a06b53466188fc4e446,product_level_2,814119e4a116199cf494768f31987158
27,838a822f49120b32af6ef7a3edf728ae,2021-03-01,2,geography_level_3,364ee4866c1e0b8c66a5c82e52d49a41,product_level_2,814119e4a116199cf494768f31987158
28,e0bb0f05aa6823bddee312429820c1dc,2021-03-01,149,geography_level_3,364ee4866c1e0b8c66a5c82e52d49a41,product_level_2,1807ffa2c1c84035f4346c3364104dd1
30,8538f16d61c9a7e113fc4e7748b115ed,2021-03-01,1287,geography_level_3,364ee4866c1e0b8c66a5c82e52d49a41,product_level_2,6c46c9c5d3ef936b4c8d6d8f9851e837
31,fbebd4b0a117dc44d58478cf9f87a08c,2021-03-01,1741,geography_level_3,364ee4866c1e0b8c66a5c82e52d49a41,product_level_2,93a97f63f0a573483d49c58dc02c1341
34,744c7c7bba99e8de93fcda523bc849b0,2021-03-01,84,geography_level_3,364ee4866c1e0b8c66a5c82e52d49a41,product_level_2,ba569a9ecbaa99645f9baf060d5061e7
35,8c12bcd7914a074400cb2d54fb24c360,2021-03-01,0,geography_level_3,638740660afce16701f96984d44233b4,product_level_2,45fe7a01980958e559fa0473c20c8c58
