,unit,weight
0,6232865ae8cdf7825d1959ac71639d4e,0.001
1,8ccf1c02bb050cb3fc4f13789cdfe235,0.001
2,316b9c0bbb532b529dd03cc7f695afc9,0.001
4,828ac2ac9ea800ea61e6c0bf0da57a6f,0.001
5,c36d9c12341e6e17a35135144ddafbcd,0.001
7,b3f32e02cae9388022f4d06a91311030,0.001
10,03e2603c3134f61842a393a960693aff,0.001
12,24439a726c82f38b810ffba50fd1bb8b,0.001
13,1bfbefa22e0e641366673df7f3977278,0.001
15,8c12bcd7914a074400cb2d54fb24c360,0.001
16,260025548dd39f2422a39eefbb05038b,0.001
17,b035f859cf03840b75abd80dc1cf3e94,0.001
18,cb853a6f677db7201ebe326ee55a114b,0.001
20,2e1697537caf9cb17d81e49feeb79914,0.001
24,1a160b7cc9cb8269379d2531051733a7,0.001
25,6cf509e7a5d87b434fe323582d8f6e05,0.001
26,b953b2d7bdbd29440515ff2ea4e968da,0.001
27,a4a106d93c04176b9c3ebd4021f43936,0.001
28,42405e58e141c4e12e9eafacf7faa33e,0.001
29,2d6951ca8568bf3d3c50064179206842,0.001
30,c33ea1a813aed8ea5c19733d0729843d,0.001
31,0b0db6dbaddf6a2e5ed6eba8680d9549,0.001
36,d4b7b56eb7209d9918fd3ac861436d13,0.001
37,8aa97bb705f78f014a9046130df0b03a,0.001
38,169460bed3e665fed278715ff2b1adbd,0.001
39,98fec36951b8d8c664a465caf80c5465,0.001
40,3e13389035db3a462d26e01b2b4871eb,0.001
43,a9f6af1f0062224b4f10d276f4ac2d5c,0.001
44,26098db7d7f9fd0c659233efd0ed4090,0.001
46,7cf777c8df3b1e2be1029be69781638b,0.001
48,ec0bc14d31cc1f9e7f45af51dd582ae3,0.001
49,12f892a6de3f9cf4411fb9db4fdd6691,0.001
50,838a822f49120b32af6ef7a3edf728ae,0.001
51,49e1ac35ee87ce3e71c1b3f2d3e62e0f,0.001
52,24ab65fa26a75084e1d376f389396f04,0.001
53,fbb83aefc6f5d6f6bc22ae3ee757d327,0.001
54,392aaa20e70b4d7539cc7a2e09562521,0.001
55,d4457d3854301ee3c80d57c506a8bfcc,0.001
56,80caf14aace2a14570c299cbe25ad867,0.001
60,6e5214167877bb1935d8746da9204645,0.001
61,27323c54d7e0f10adeb0ab68fa4e3e6c,0.001
64,ca7d84670a90d845578e07f12debc242,0.001
67,d999d886b10c13bc77a266bbcf0fa820,0.001
70,7fffcb4b100476f0ab61be6691abcb72,0.001
71,acb5c3e271ff81469251285b97af30cc,0.001
72,4bb34c81e2f471f8d42be39535b60f65,0.001
73,9c2ec654ef4a1e9adb75283694886db8,0.001
75,bb2a8d93abae18f4cb5b3ae443cbe46f,0.001
76,119be6b73ac373f61758dceea2fd7824,0.001
79,560c09826b89f1190b5c042b3c2a5dad,0.001
82,52efc1dfe202fa05c9b7f87711dead95,0.001
84,0e627ddf0d4d009fa9b35f0f951963c3,0.001
86,983828400216f060071d11d5d8d159d4,0.001
87,ccd0f768f7a21a7fd3530fa0711f2fb1,0.001
90,7b0d3987cb54dd19dbb0cee7f36dbfbd,0.001
91,964ad5e42483ef0f3297471a1ecd28ca,0.001
92,bea50d090733cbf4f94e99398eaf8de2,0.001
93,25bef70232924564d082fb5acb0b4262,0.001
94,36bea3b16e36536f0816d40f6ef75f6e,0.001
96,518f38e512d1873aec3ec4750268b9b3,0.001
97,83bdf03890f543cc0732eb0fa80fb9e0,0.001
98,d84b7e5a0cef47105956a15e6c60f77c,0.001
99,a45a35260a76ad0d9e6c8c927df7be90,0.001
100,a5cb9cd51fa70850154e2279a5979ab9,0.001
101,15bc6c90c33d176cd359fdca04f65b24,0.001
103,68abaebc901040cddbb254f5b0ed5704,0.001
104,f5438e2eae441b33a3b24e5ad65f7e99,0.001
105,fbba9f6ac85c02d3289c69f2934e3b2a,0.001
106,a3d0070ebf3d9a4c1bc1d57912d892e9,0.001
107,f190ec174bc0cfd736868faf88640654,0.001
108,c969e521693610ba941eee4a25b5e885,0.001
109,d9eb7971e67918637ccc539abe350cf8,0.001
110,89a7f08ee45a265a6b43724323eb76a4,0.001
111,4aebdfa099895cbc2ab9c7485dc33d3c,0.001
112,eb4e717140f6e0b381617329703e1c63,0.001
113,2bab5e492dd52d72b8d9f15bd9063009,0.001
116,1fec6bed2b768c10535793574ce02c1e,0.001
118,edaeb9a9649e135506d62dd348c62c5c,0.001
119,76a5def89adbd6ecac452792fd8a1c7a,0.001
120,e5942ec86cb63b91b22eddf5f9064272,0.001
121,9c1da4fb74f1ba23ed694225e7b623a0,0.001
122,cc09e06b1d1795139a5bc50737abe813,0.001
123,bcf128f7b42c74435f20505608f7084c,0.001
124,35d3a30c307b93f836abd419472a269a,0.001
125,e1f711289e92c38c5fb93d71354634e4,0.001
126,4773f81c82bacd3fdea9b306d2adae75,0.001
127,1e80c228c3055b1029e2bd59c3541893,0.001
128,3601516f24aba6ee6c5ad2af58a1df34,0.001
129,f3b0e0b2dd1d244f0db4a6f093bc75bd,0.001
134,22070d5ab49dbc8ec50e893dafcde106,0.001
135,5a78fab4c4c6e747b085c82a4e611080,0.001
136,5edc6fc84c7dd89ce63938aee6a61185,0.001
137,d58a7109168bd4c27331ee00fa45c5f2,0.001
138,b00dcbfbd4891a15a92fae75babc7ba7,0.001
140,1fb8b75109e637f2a4d93b17d29bd03a,0.001
141,d3220c3430f72d591e90d0d62334c0e4,0.001
142,119a92ee61c74e162709aedb9953377c,0.001
143,68a0a6f70a6a3dcb4159f4b83ba12c05,0.001
144,5fc6a530a4c8e9ae27a3c3a715aa4fb4,0.001
145,7e0e743bd2b3b7b57051e8b8e86ce017,0.001
146,5fc2b5aeae81d7f330c9c38d1866e200,0.001
149,c83371eb7a520fb90e220f83f645d789,0.001
150,9dda2eb0591703c6d6c998b870ee9a27,0.001
151,79b2dc0d925fdcad4667bcff352cad80,0.001
152,4556bd4441677efbdbd9d206bc1257d3,0.001
155,8a034fc20254a4f99f9e50d57ebedf46,0.001
158,283e7fc13b6cdd5a85deeb9a07bfabea,0.001
159,dec0b2a698a629fa1f029282029b36e6,0.001
160,34848edd8585c1cd5ec7e11b81092881,0.001
162,e2938f937da7b164d039fe25de6cb475,0.001
165,fe994bc0a7241fe686a2eeee39cd2695,0.001
166,5407c145046d1e8871eea3f527731fc7,0.001
167,137c81f4d5b0872b8f71674416bdaaa6,0.001
168,6a5afab567e48f4f76449938fde7b110,0.001
169,5a0435a235c32020debde9900d69b687,0.001
171,48526f84251dc54cc78f91e3d65e2bb4,0.001
172,754343952ad1589f2c81da0b6c0ed72d,0.001
174,55bdfe8ff6b539862030806125358cc2,0.001
175,c67c64b598f9a4129f5001f40c7af297,0.001
177,42388ec867ea623c300d4088253db5e0,0.001
178,4619667ca746997c78bbca317d548a0b,0.001
180,93a07659733deadb18e2dbfc9f8709ac,0.001
182,2c176fbf54aa20dfcce835456fdc3651,0.001
185,33c6a63cf584680949a927b5f2b4a597,0.001
187,3e52fb3144811a9fef969aacfe6aa414,0.001
188,aecdb37da1ba22c6d9c41a8eaa3ec5d7,0.001
189,1d25cec381a42b802338d0f5c1207a42,0.001
191,452ac3ab0817f0ce3d77ad646b0920d2,0.002
193,b74b91ee70839752608187c3c9d8836d,0.002
194,86bf64036f9cb4aed9de50ac918cca8a,0.002
196,6580383fbec789022ae6accba82c2be0,0.002
