,unit,weight
3,816bfc72abde7022c628d80993c22325,0.001
6,7e069271cba08e62430ed3a990e3791a,0.001
8,e66e3b2df08bb2ce1c2e206b49c22c0d,0.001
9,b9ec54db8c3ecafae0da3fde2c6d8839,0.001
11,e193e4ee830b9929c4be47156ef6db88,0.001
14,0b15e43cee51c4763977f9371d93b4df,0.001
19,f21e72d18d73783d0e10d422d15f7195,0.001
21,0aeba1bc4ff6c29e79c74716d6acd9a3,0.001
22,83942acc2e66fc48543ab097f5436013,0.001
23,0efc3380e4604b3be16e2267135c850c,0.001
32,a8a589e0e6ac569cc64264aab9438e44,0.001
33,8d2fb899d57a2c110d4e2381fa264c7f,0.001
34,1305184b1a7634e62b1ea3dc7c5fa81d,0.001
35,99d1ddc863993fee0ee5dfb7a5f4480f,0.001
41,e5d27207eac5253b7fda820a7f3827e3,0.001
42,e8ed729619cfd16caf00e2d5e52044ba,0.001
45,4a4beb5b95d4c002799f865d910b5071,0.001
47,def7b797d78feff07cb3518bae16c110,0.001
57,c1763ccafff242dcec633a501a7e8075,0.001
58,bebee8ce1774d8073f20a7fc7a032ef1,0.001
59,f6fbe166f4fe6b10c21708e46e1102b9,0.001
62,8968401cdc9c82581424e2c56416af63,0.001
63,6a1e39a111ac2e199210e9324b894b36,0.001
65,70cf38eb21b8ac7625b015d45bd694bf,0.001
66,286c852c4ad7521da0fa99a452405fc0,0.001
68,dfdf8df61fb30f8ad514f2fc134d037a,0.001
74,e7d59045f2b21d86f5d92cee320bc65a,0.001
77,e527dedfec712d75834a2eacb23e51fc,0.001
78,9d29bf6c07d5d0adef423b2370a708db,0.001
80,246e7ea04aed51c857dad7c3cf743f2e,0.001
81,7f024a64ce925ed4e9f46c358deeaac4,0.001
85,af87d37d2f29ff81351e3c820fb75367,0.001
88,ee05eb9e4448a04c0e242c10eae0419c,0.001
89,5940d5610af264ddb2bb00e6e1769925,0.001
95,8302fd867d8d2317a4fad89a95e07c25,0.001
102,d4807afa555f1faebf978b79ef83b191,0.001
114,9660fec64242e74f8c017cb2dc1c20b9,0.001
115,dec58c20f99df04d3db68fc98ef9e680,0.001
117,3e45754fcc9e94bdf34e696811577715,0.001
130,7836351656fdf1609bc025a6d4ff1569,0.001
131,794ccb95ffb62cebc2168f45baf23bc9,0.001
139,029e6c46cbb94a7b7b9d5d5295113ae6,0.001
147,2318287de787ae3132ab0f19f36e6867,0.001
148,1ba287b970afc8e77f07eb8b7986e9e1,0.001
154,aa912e1064c75e6af0ba8f1c270087c8,0.001
156,2dcd0655535062bee700e6d5386ca371,0.001
157,ef46d27b122ee0036a901b2c00837e51,0.001
161,6e835c8dd6b190c03635c4dc8b2e361e,0.001
163,3ae11c1cbfafa85aa9d1ac76c45730cb,0.001
164,639c0c25c70f3323aef91a4fdcbb46ce,0.001
170,5307a171cc8912aee35343e33956a2f2,0.001
173,a11e1a5f8140f7c2125f76f49146ac10,0.001
179,727771c2319dba6bd0d957d327d6c7e9,0.001
183,c8cfa8417b02f5b376c9f13a76acb5ac,0.001
184,4899952334df1d2e364b4ef2713dd374,0.001
186,543bafa49d8b618ce56f19fe7ca1c19e,0.001
